y,x1,x2,x3,x4
0,3861.22,3861.66,3860.75,3861.38
0,3861.19,3861.38,3860.16,3861.25
0,3861.38,3861.38,3858.47,3858.53
1,3858.72,3858.72,3857.03,3858.19
1,3858.09,3859.16,3858.03,3858.81
1,3858.63,3859.63,3858.28,3859.63
0,3859.53,3859.88,3858.88,3859.66
1,3859.69,3859.72,3858.22,3858.59
1,3858.72,3860.31,3858.66,3860.19
0,3860.31,3861.81,3860.31,3861.53
0,3861.34,3861.59,3860.41,3860.5
0,3860.75,3861,3859.97,3860.13
1,3860.19,3860.22,3858.97,3859.5
1,3859.38,3859.97,3858.78,3859.56
1,3859.69,3861.91,3859.25,3861.69
0,3861.56,3862.5,3861.56,3862.19
0,3862.13,3862.19,3861.13,3861.66
0,3861.5,3861.84,3861.22,3861.56
1,3861.44,3861.47,3860.91,3860.94
1,3861.13,3861.88,3860.72,3861.53
1,3861.56,3863.22,3861.56,3863.03
1,3863.16,3864.75,3862.78,3864.47
1,3864.66,3866.59,3864.66,3866.59
1,3866.47,3869.28,3866.47,3868.38
0,3868.5,3870.72,3868.31,3870.72
0,3870.75,3872.63,3867.94,3867.94
0,3868.16,3868.28,3867.03,3867.28
0,3867.16,3867.53,3866.41,3866.56
1,3866.63,3867.09,3866.09,3866.13
0,3866.03,3866.78,3865.66,3866.56
1,3866.66,3866.75,3866.03,3866.25
1,3866.31,3866.44,3865.94,3866.38
1,3866.34,3867.06,3865.91,3866.94
1,3867.06,3868.66,3866.81,3868.47
0,3868.44,3870.19,3868.34,3870.03
0,3870.09,3870.25,3869.78,3869.94
0,3869.84,3869.94,3867.69,3867.69
0,3867.5,3867.5,3866.66,3866.69
1,3866.75,3867.47,3865.91,3866.34
1,3866.28,3866.84,3866.06,3866.56
1,3866.59,3868.84,3866.56,3868.84
0,3868.81,3870.5,3868.56,3870.22
1,3870.38,3871.25,3869.97,3869.97
0,3870.19,3870.69,3869.94,3870.28
0,3870.31,3870.56,3869.03,3869.16
0,3869.22,3869.41,3868.56,3868.72
0,3868.78,3868.94,3866.78,3866.78
0,3866.81,3867,3866.13,3866.31
1,3866.38,3866.56,3865.13,3865.13
0,3865.25,3865.69,3864.97,3865.59
0,3865.63,3865.78,3865.09,3865.16
1,3865.13,3865.25,3864.41,3864.63
1,3864.75,3866.03,3864.56,3865.81
1,3865.94,3866.56,3865.03,3866.56
0,3866.59,3867.97,3866.41,3867.97
0,3867.94,3868.16,3867.31,3867.75
0,3867.38,3867.63,3866.5,3866.72
1,3866.69,3866.84,3866.31,3866.5
1,3866.63,3868.28,3866.44,3868.28
1,3868.19,3868.66,3867.69,3868.38
0,3868.31,3868.56,3868.25,3868.47
1,3868.41,3868.41,3867.16,3867.97
1,3867.94,3868.13,3867.59,3868.06
1,3868.09,3868.44,3867.81,3868.38
0,3868.25,3868.81,3867.97,3868.47
1,3868.38,3868.47,3868,3868.13
1,3867.97,3868.59,3867.91,3868.41
1,3868.28,3868.88,3868.13,3868.56
1,3868.53,3869.31,3868.38,3869.09
1,3869.19,3872.84,3869.19,3872.31
1,3872.13,3875.63,3872.13,3875.38
0,3875.22,3880.06,3875.16,3879.91
0,3879.69,3879.91,3876.22,3876.22
0,3875.91,3876.06,3874.13,3874.47
0,3874.53,3875.34,3873.56,3873.66
0,3873.72,3873.88,3872.34,3872.91
1,3873.09,3873.5,3872.06,3872.06
1,3872.13,3873,3871.94,3872.81
0,3873.19,3874.91,3873.09,3874.25
0,3874.47,3874.81,3874.13,3874.13
0,3874.34,3874.53,3872,3872.13
0,3872.06,3872.06,3871.44,3871.66
1,3871.41,3871.66,3870.25,3870.47
0,3870.78,3871.78,3870.44,3871.75
1,3871.78,3872.03,3870.41,3870.44
0,3870.38,3871.13,3869.91,3870.81
0,3870.91,3870.94,3869.53,3870.16
0,3870.34,3870.78,3869.75,3869.94
1,3870.09,3870.09,3868.19,3868.44
1,3868.66,3870.91,3868.66,3870.88
1,3870.72,3871.09,3870.19,3871.09
1,3871.13,3871.72,3871.13,3871.63
1,3871.69,3873.03,3871.69,3872.56
1,3872.91,3874.06,3872.69,3873.97
0,3874,3875.22,3873.94,3874.59
1,3874.56,3874.81,3872.81,3873.19
0,3873.31,3874.34,3873.03,3874.13
0,3874.06,3874.56,3872.16,3872.19
1,3872.13,3872.84,3871.91,3872.09
1,3872.25,3873.94,3872.25,3873.66
1,3873.59,3876.06,3873.5,3876.06
0,3876.31,3879.66,3876.31,3879.66
1,3879.75,3880.22,3876.81,3876.81
0,3876.78,3877.84,3876.16,3877.16
1,3877.28,3877.69,3874.91,3875.28
1,3875.5,3878.03,3875.41,3877.34
1,3877.69,3877.97,3876.56,3877.53
1,3877.41,3878.78,3877.28,3878.66
1,3878.56,3881.34,3878.56,3879.53
0,3879.63,3880.94,3879.59,3880.88
0,3880.81,3881.28,3879.91,3879.94
0,3880.09,3880.34,3878.22,3878.25
0,3878.47,3879.22,3877.5,3877.5
0,3877.47,3878,3877.16,3877.16
1,3877.19,3877.44,3875.78,3875.94
1,3875.84,3876.31,3875,3876.19
0,3876.22,3877.84,3876.06,3877.78
1,3877.97,3878,3875.34,3875.44
0,3875.28,3876.31,3875.28,3875.59
1,3875.81,3876.16,3874.44,3874.59
1,3874.78,3875.88,3873.75,3875.75
0,3875.63,3876.75,3875.25,3876.34
1,3876.22,3877.38,3875.66,3875.66
0,3875.75,3878.75,3875.41,3877.63
0,3877.84,3877.91,3875.94,3875.97
0,3876.13,3876.13,3874.31,3874.72
0,3874.84,3875.13,3874.13,3874.63
1,3874.5,3874.72,3872.97,3874.5
1,3874.97,3876.41,3874.94,3876.31
1,3876.09,3876.81,3875.91,3876.75
1,3876.78,3878.75,3876.69,3878.41
